Type de gestion,Arrondissement,Type accueil,Nombre de Places,Nom de la crèche,Adresse,Téléphone,Adresse mail,Site web,Latitude,Longitude
Gestion municipale,13001,Multi accueil,50,MISSION,11 Rue Mission de France,04.91.90.07.44,dgepe-creche-miss@marseille.fr,,43.29858,5.380003
Gestion municipale,13001,Multi accueil,85,BELSUNCE,61 Rue Longue des Capucins,04.91.56.59.55,dgepe-creche-bels@marseille.fr,,43.30022,5.378468
Gestion municipale,13002,Multi accueil,40,REPUBLIQUE,6 Rue  Terras,04.91.90.26.27,dgepe-creche-carm@marseille.fr,,43.3013211,5.372456
Gestion municipale,13002,Multi accueil,90,MAJOR,9 Rue de l'Observance,04.91.90.06.26,dgepe-creche-majo@marseille.fr,,43.300946,5.367508
Gestion municipale,13002,Multi accueil,40,BUTTE CARMES,2 Rue des Grands Carmes,04.91.56.18.67,dgepe-creche-butt@marseille.fr,,43.300945,5.372532
Gestion municipale,13003,Multi accueil,42,PEYSSONNEL,15 Rue Peyssonnel,04.91.50.52.36,dgepe-creche-peys@marseille.fr,,43.307301,5.372759
Gestion municipale,13003,Multi accueil,42,CEYLAN,21 Passage Léo Ferré,04.91.02.34.88,dgepe-creche-ceyl@marseille.fr,,43.315567,5.377592
Gestion municipale,13003,Multi accueil,50,CADENAT,5 Rue Jobin,04.91.62.66.02,dgepe-creche-cade@marseille.fr,,43.311739,5.388297
Gestion municipale,13004,Multi accueil,25,CHUTES LAVIE,39 Rue A.Ribot,04 91 50 96 81,dgepe-creche-chut@marseille.fr,,43.316182,5.395961
Gestion municipale,13004,Multi accueil,60,CHARTREUX,51 Rue François Scaramelli,04.91.49.69.57,dgepe-creche-char@marseille.fr,,43.306318,5.410653
Gestion municipale,13004,Multi accueil,42,CINQ-AVENUES,Impasse Fissiaux,04.91.85.10.54,dgepe-creche-cinq@marseille.fr,,43.302004,5.39628
Gestion municipale,13004,Multi accueil,50,FEDERATION,56 Boulevard de la Fédération,04.91.49.18.31,dgepe-creche-fede@marseille.fr,,43.312162,5.402788
Gestion municipale,13005,Multi accueil,65,CHAVE,312 bis Boulevard Chave,04.91.85.29.78,dgepe-creche-chav@marseille.fr,,43.295723,5.404215
Gestion municipale,13005,Multi accueil,42,DORIA,30 Boulevard Sakakini,04.91.34.30.74,dgepe-creche-dori@marseille.fr,,43.29767,5.400785
Gestion municipale,13005,Multi accueil,40,TIVOLI,66 Cours Franklin Roosevelt,04.91.47.81.40,dgepe-creche-tivo@marseille.fr,,43.298515,5.389299
Gestion municipale,13005,Multi accueil,50,BERARD,22 Rue Bérard,04.91.78.42.01,dgepe-creche-bera@marseille.fr,,43.286746,5.39388
Gestion municipale,13005,Multi accueil,35,BLANCARDE,135 Chemin Saint Jean du Désert,04.91.48.19.37,dgepe-creche-blan@marseille.fr,,43.295145,5.40875
Gestion municipale,13006,Multi accueil,34,LIEUTAUD,66 Cours Lieutaud,04.91.33.47.24,dgepe-creche-lieu@marseille.fr,,43.29251,5.382601
Gestion municipale,13006,Multi accueil,55,VAUBAN,62 Rue de la Martinique,04.91.37.58.45,dgepe-creche-vaub@marseille.fr,,43.282298,5.374735
Gestion municipale,13007,Accueil Occasionnel,25,H.G des LICES,12 Rue de Lices,04.91.31.47.15,dgepe-garderie-lice@marseille.fr,,43.289436,5.367594
Gestion municipale,13007,Multi accueil,60,PHARO,17 Rue ces Catalans,04.91.52.08.78,dgepe-creche-phar@marseille.fr,,43.292174,5.355654
Gestion municipale,13007,Multi accueil,95,ROUCAS BLANC,14 Traverse de la Serre,04.91.59.42.13,dgepe-creche-rouc@marseille.fr,,43.279457,5.36952
Gestion municipale,13007,Multi accueil,45,A. AUTRAN,30 Boulevard Amédée Autran,04.91.52.72.84,dgepe-creche-autr@marseille.fr,,43.282019,5.365626
Gestion municipale,13008,Multi accueil,30,ROY D'ESPAGNE,Allée Yvon Morandat,04.91.73.07.61,dgepe-creche-royd@marseille.fr,,43.239098,5.391763
Gestion municipale,13008,Multi accueil,44,POINTE ROUGE,81 Traverse Prat,04.91.73.49.62,dgepe-creche-poin@marseille.fr,,43.238706,5.373519
