Nom du site,Categorie,Adresse 1,Code Postal,Ville,Numero de telephone,Longitude,Latitude
Centre Socio Culturel d'Endoume,Maisons de quartiers,285 rue d'Endoume,13007,Marseille,04 91 52 08 63,5.35594508779853,43.2838240949142
Centre Municipal d'Animation (cma) de Saint Barnabe,Maisons de quartiers,29 rue Serie,13012,Marseille,04 91 85 20 89,5.41795749666613,43.3028769404226
Espace Canebiere,Maisons de quartiers,"6, 8 rue Senac",13001,Marseille,04 91 47 31 60,5.38333373451406,43.2978798025907
Maison de Quartier le Florida,Maisons de quartiers,1 Bd Auguste Comte,13010,Marseille,04 91 45 30 05,5.4280921457291,43.2817665246546
Maison des Associations,Maisons de quartiers,152 rue du Vallon des Auffes,13007,Marseille,,5.35075262989656,43.2855539532526
Centre Social Baussenque,Maisons de quartiers,34 rue Baussenque,13002,Marseille,04 91 91 29 59,5.3669288849211,43.29916275245
Maison de Quartier Girardin,Maisons de quartiers,22 rue Girardin,13007,Marseille,04 91 31 79 65,5.35774005482551,43.2897353236506
Maison des Arts,Maisons de quartiers,58 Corniche Kennedy,13007,Marseille,04 91 52 44 06,5.3521871005951,43.2877746927873
Centre Social les Escourtines,Maisons de quartiers,15 traverse de la Solitude,13011,Marseille,04 91 18 70 90,5.50212815936595,43.2813441359363
Centre Social la Capelette,Maisons de quartiers,221 avenue de la Capelette,13010,Marseille,04 91 79 66 01,5.40979831835439,43.2800506316388
Maison de Quartier Papety,Maisons de quartiers,7 rue Papety,13007,Marseille,04 91 52 04 88,5.35840126722943,43.2907166940091
Maison pour Tous (mpt) Panier Joliette,Maisons de quartiers,66 rue de l'Eveche,13002,Marseille,04 91 91 14 52,5.36674296871702,43.3001994374251
Centre d'Animation la Valentine,Maisons de quartiers,25 rue de l'Audience,13011,Marseille,04 91 27 14 95,5.48522461164937,43.2967091442895
Maison de Quartier les Lices,Maisons de quartiers,12 rue des Lices,13007,Marseille,04 91 31 29 24,5.36743023687518,43.2893084601581
Maison pour Tous (mpt) Vallee de l'Huveaune,Maisons de quartiers,4 rue Gimon,13011,Marseille,04 91 35 06 07,5.45643266478533,43.2871802795865
Maison pour Tous (mpt) Saint Barnabe,Maisons de quartiers,Rue Gustave Salicis,13012,Marseille,04 91 34 90 98,5.41906857538848,43.3026573996048
Centre Tivoli,Maisons de quartiers,66 cours Franklin Roosevelt,13005,Marseille,04 96 12 20 20,5.38914577921298,43.2987552020822
Maison de Quartier Malmousque,Maisons de quartiers,233 Corniche Kennedy,13007,Marseille,04 91 31 40 29,5.3512542286438,43.2818484910496
Maison pour Tous (mpt) Kleber,Maisons de quartiers,16 rue Desaix,13003,Marseille,04 91 62 82 40,5.3753347711763,43.3080195908844
Centre Social Julien,Maisons de quartiers,33 cours Julien,13006,Marseille,04 96 12 23 90,5.38333109718654,43.2946034503288
Centre Municipal d'Animation (cma) Maille,Maisons de quartiers,40/42 rue Antoine Maille,13005,Marseille,04 91 26 23 89,5.39388555376513,43.2856353860891
Centre Social Belsunce,Maisons de quartiers,16 rue Bernard Dubois,13001,Marseille,04 91 90 49 10,5.37654764407247,43.3012722745519
Centre Social Sainte Elisabeth,Maisons de quartiers,6 square Hopkinson,13004,Marseille,04 91 34 69 96,5.40991095444466,43.2988097336954
Maison de Quartier Baou de Sormiou,Maisons de quartiers,Traverse Colgate,13009,Marseille,04 91 25 11 73,5.40233055889197,43.231523072602
Maison de Quartier Saint Georges,Maisons de quartiers,49 rue Charras,13007,Marseille,04 91 31 68 06,5.3578317162292,43.2887221548408
Centre Fissiaux,Maisons de quartiers,2 avenue du Marechal Foch,13004,Marseille,04 91 86 45 45,5.39684101274532,43.3023556478163
Maison de Quartier Luminy,Maisons de quartiers,Rue Henri Cochet,13009,Marseille,04 91 41 26 45,5.42952917892652,43.2387970553425
Maison de Quartier le Redon,Maisons de quartiers,361 boulevard du Redon,13009,Marseille,04 91 26 75 08,5.42571642426039,43.2460044925526
Maison de Quartier les Baumettes,Maisons de quartiers,31 traverse de Rabat,13009,Marseille,04 91 40 34 40,5.41296453639068,43.237123819387
Centre Municipal d'Animation (cma) la Valbarelle,Maisons de quartiers,93 boulevard de la Valbarelle,13011,Marseille,04 91 35 05 88,5.44771534035328,43.2876016156555
Centre Municipal d'Animation (cma) Saint Pierre,Maisons de quartiers,333 rue Saint Pierre,13005,Marseille,04 91 42 17 69,5.40647191694309,43.291688716667
Centre Municipal d'Animation (cma) Tempo Sainte Anne,Maisons de quartiers,13 rue Thieux / 388 avenue de Mazargues,13008,Marseille,04 91 22 82 23,5.3937499648428,43.2582168103489
Centre d'Animation et de loisirs (cal) les Grands Carmes,Maisons de quartiers,2 rue des Grands Carmes,13002,Marseille,04 91 56 18 65,5.37291305863952,43.3014806640514
Centre Socio Culturel de Valmante,Maisons de quartiers,151 traverse de la Gouffonne Residence Valmante,13009,Marseille,04 91 82 33 95,5.41724483846718,43.246177203098
Centre Municipal d'Animation (cma) Tempo Vauban,Maisons de quartiers,114 boulevard Vauban,13006,Marseille,04 91 37 79 38,5.37751156338899,43.2857986375507
Maison de Quartier Saint Tronc,Maisons de quartiers,134 rue Francois Mauriac,13010,Marseille,04 91 74 18 14,5.42345603075077,43.2699301370002
Maison de Quartier Sainte Genevieve,Maisons de quartiers,211 boulevard Romain Rolland,13010,Marseille,04 91 78 20 98,5.4158516237416,43.2738043147948
Centre Social d'Air Bel la Pomme,Maisons de quartiers,Avenue Jean Lombard,13011,Marseille,04 91 35 27 92,5.43035358915044,43.2895516286875
Centre Municipal d'Animation (cma) Jeanne d'Arc Enfance,Maisons de quartiers,126 boulevard Jeanne d'Arc,13005,Marseille,04 91 92 73 03,5.40799650320955,43.2925217375749
Centre Municipal d'Animation (cma) Saint Marcel,Maisons de quartiers,216 boulevard de Saint Marcel,13011,Marseille,04 91 44 81 80,5.46875256685471,43.2858840748367
Centre Municipal d'Animation (cma) Tempo Pointe Rouge,Maisons de quartiers,1 parking des deriveurs,13008,Marseille,04 91 73 87 64,5.36778349331491,43.2427350438125
Maison de Quartier la Timone,Maisons de quartiers,49 avenue Benjamin Delessert,13010,Marseille,04 91 78 34 23,5.40325360671209,43.2844524680678
Espace Multi activites Velten,Maisons de quartiers,16 rue Bernard Du Bois,13001,Marseille,04 91 91 40 20,5.37630389685053,43.3014974877909
Centre Municipal d'Animation (cma) Madon,Maisons de quartiers,5 rue Madon,13005,Marseille,04 96 12 01 18,5.3997991786337,43.2947720345441
Centre Municipal d'Animation (cma) la Barasse,Maisons de quartiers,100 boulevard de la Barasse,13011,Marseille,04 91 36 28 01,5.48095254670957,43.2853833816502
Maison pour Tous (mpt) Chave Conception,Maisons de quartiers,107 rue Benoit Malon,13005,Marseille,04 91 94 54 32,5.3930962336641,43.2941360587143
Centre Municipal d'Animation (cma) Tempo Pastre,Maisons de quartiers,155 -157 avenue de Montredon,13008,Marseille,04 91 25 33 16,5.36726418782995,43.2366745501931
Maison des Arts et de la Culture,Maisons de quartiers,133 boulevard Sainte Marguerite,13009,Marseille,04 91 26 09 06,5.4077284052584,43.2677036982354
Centre Municipal d'Animation (cma) Tempo Montredon,Maisons de quartiers,2 traverse de la Marbrerie,13008,Marseille,04 91 72 37 82,5.35802991783641,43.2329623311164
Centre Municipal d'Animation (cma) Meridien,Maisons de quartiers,17 boulevard Jeanne d'Arc,13005,Marseille,04 91 47 20 07,5.39902287435408,43.2942690858431
Maison de Quartier le Trioulet,Maisons de quartiers,36 avenue Aviateur Le Brix,13009,Marseille,04 91 71 56 15,5.40336489997906,43.2611749078508
