Nom du site	Categorie	Adresse	Code Postal	Ville	Longitude	Latitude
Jardin de Corinthe	Jardins	Avenue de Corinthe	13006	Marseille	5.39080135635133	43.2839011618749
Pablo Casals	Jardins	Cours Julien	13006	Marseille	5.38350090781478	43.2934222036574
Square Raymond Teisseire	Jardins	Rue Raymond Teisseire	13008	Marseille	5.39645905606964	43.2754827334116
Jardin de Benedetti	Jardins	Boulevard de la Rade	13007	Marseille	5.35282596163265	43.2868993735963
Jardin Perier	Jardins	Boulevard Perier	13008	Marseille	5.37473900379804	43.2776858615237
Jardin de Saint Marcel	Jardins	Boulevard de Saint Marcel	13011	Marseille	5.46795999168269	43.286187877396
Jardin du Vallon des Tuves	Jardins	Boulevard du Bosphore	13015	Marseille	5.36347873696844	43.369196728063
Jardin Pigala	Jardins	Impasse Pigala	13015	Marseille	5.353858676019	43.3729037598289
Jardin Fraissinet	Jardins	Rue Saint Pierre	13005	Marseille	5.39961066554789	43.2924938495599
Parc Val Plan	Jardins	Rue Leon d'Astros	13013	Marseille	5.43552712619015	43.3343661815948
Jardin Mireille Lauze	Jardins	Boulevard Mireille Lauze	13010	Marseille	5.41122246738705	43.2832795796457
Square Stephan	Jardins	Rue Edouard Stephan	13004	Marseille	5.39349033325594	43.3048583107616
Jardin de la Falaise	Jardins	Boulevard Falaise	13016	Marseille	5.30795653312543	43.3626024137508
Jardin Gerald Neveu	Jardins	Rue Raymond Teisseire	13009	Marseille	5.40173089747623	43.2693344282904
Jardin Georges Brassens	Jardins	Boulevard de la Savine	13015	Marseille	5.36551494428058	43.367953117989
Jardin Aspirant Versini	Jardins	Boulevard Merle	13012	Marseille	5.41245728570188	43.3011986694985
Jardin Lacedemone	Jardins	Rue Lacedemone	13006	Marseille	5.37587008475957	43.2817716930612
Jardin de la Mathilde	Jardins	Boulevard de la Gaye	13009	Marseille	5.41512149786766	43.2592995296954
Les Micocouliers	Jardins	Boulevard Paul Claudel	13010	Marseille	5.41880900990005	43.2686845949954
Jardin du corbusier	Jardins	Boulevard Michelet	13008	Marseille	5.39711728902392	43.2611343794887
Jardin Botanique	Jardins	48 avenue Clot Bey	13008	Marseille	5.38421993461863	43.260518785845
Square des Marseillaises	Jardins	Place des Marseillaises	13001	Marseille	5.38097666837059	43.30169850873
Jardin des Aloades	Jardins	Traverse Prat	13008	Marseille	5.37279138797084	43.2386197410988
Jardin du Juge Michel	Jardins	Place Monthyon	13006	Marseille	5.37527400552376	43.2904245163191
Jardin de la Perrine	Jardins	Traverse de la Fourragere	13012	Marseille	5.43178856237776	43.3015431360239
Jardin des Reinettes	Jardins	Promenade du Grand Large	13008	Marseille	5.36381651000546	43.2412714879835
Square Manouchian	Jardins	Boulevard Charles Livon	13007	Marseille	5.36139198410673	43.2924282626326
Jardin du Pradel	Jardins	Boulevard Henri Barnier	13015	Marseille	5.34226362601711	43.3691243620872
Jardin du Carenage	Jardins	Place du Carenage	13007	Marseille	5.36601589858958	43.2919811226563
Jardin Bonniot	Jardins	Avenue Bonniot	13012	Marseille	5.45080089388657	43.316212571048
Jardin de la Porte d'Aix	Jardins	Place Jules Guesde	13003	Marseille	5.37517517345587	43.3021784228628
Square Lamy	Jardins	Rue du Commandant Lamy	13007	Marseille	5.36493373070959	43.2903258508073
Jardin de Saint Menet	Jardins	Avenue de Saint Menet	13011	Marseille	5.5011353866203	43.2883972191243
Jardin de la Pauline	Jardins	Boulevard Romain Rolland	13009	Marseille	5.41084081341605	43.2736889665468
Jardin Infossi	Jardins	Traverse Alexis Breysse	13009	Marseille	5.41668640913032	43.2564504951141
Jardin Beau Sainte Elisabeth	Jardins	Rue Beau	13012	Marseille	5.41009015086328	43.3007318099595
Jardin des Camoins	Jardins	Chemin des Mines	13011	Marseille	5.5134053312452	43.3023696852094
Jardin Batani	Jardins	Avenue de la Martheline	13009	Marseille	5.4015425159066	43.2455600221968
Jardin des Vestiges	Jardins	Rue Henri Barbusse	13001	Marseille	5.37512585283838	43.2977713736176
Jardin du Cabot	Jardins	Boulevard de la Gaye	13009	Marseille	5.41533630808605	43.2572356651012
Square Yves Montand	Jardins	Place Jean Jaures	13005	Marseille	5.38637974869291	43.2947645332855
Jardin Zenatti	Jardins	Avenue Andre Zenatti	13008	Marseille	5.39144334698089	43.2468613139569
Jardin Emmanuel Vitria	Jardins	17 rue Condorcet	13016	Marseille	5.34479254837428	43.3558192943796
Jardin de la panetiere	Jardins	Rue Raymond Fillat	13016	Marseille	5.30800738956769	43.3640513553991
Jardin des Trois Lucs	Jardins	Avenue des Poilus	13012	Marseille	5.46452519696363	43.3127636295771
Jardin Mont Rose	Jardins	Rue Copello	13008	Marseille	5.35430325906427	43.2318209879213
Square Melizan	Jardins	Boulevard Rabatau	13008	Marseille	5.39584009323043	43.275068456161
Jardin de la Bigotte	Jardins	Chemin des Bourellys	13015	Marseille	5.36527507901787	43.383607095351
Square Gustave Ganay	Jardins	Boulevard Gustave Ganay	13009	Marseille	5.40234031511993	43.2666597427594
Jardin Labadie	Jardins	Place Labadie	13001	Marseille	5.38443070272438	43.3010152407048
